T	a2
 0.00000	 0.00000
 1.77631	-0.05458
 1.77631	-0.05458
 1.77631	-0.05458
 1.77631	-0.06246
 1.77631	-0.06164
 1.77631	-0.04539
 1.77631	-0.07382
 1.77631	-0.07718
 1.77631	-0.07718
 1.77631	-0.09872
 1.77631	-0.09872
 1.77631	-0.11790
 1.77631	-0.11656
 1.77631	-0.11278
 1.77631	-0.11203
 1.77631	-0.10831
 1.77631	-0.11079
 1.77631	-0.11079
 1.77631	-0.08170
 1.77631	-0.08170
 1.77631	-0.08170
 1.77631	-0.08750
 1.77631	-0.06872
 1.77631	-0.06872
 1.77631	-0.06714
 1.77631	-0.06714
 1.77631	-0.13235
 1.77631	-0.15852
 1.77631	-0.16059
 1.77631	-0.15934
 1.77631	-0.16873
 1.77631	-0.18476
 1.77631	-0.19747
 1.77631	-0.19744
 1.77631	-0.19744
 1.77631	-0.18477
 1.77631	-0.19763
 1.77631	-0.19763
 1.77631	-0.18432
 1.77631	-0.18597
 1.77631	-0.16873
 1.77631	-0.16467
 1.77631	-0.16467
 1.77631	-0.16846
 1.77631	-0.17414
 1.77631	-0.22464
 1.77631	-0.19744
 1.77631	-0.18994
 1.77631	-0.18821
 1.77631	-0.16777
 1.77631	-0.20966
 1.77631	-0.20966
 1.77631	-0.31526
 1.77631	-0.31354
 1.77631	-0.31540
 1.77631	-0.30383
 1.77631	-0.30383
 1.77631	-0.26183
 1.77631	-0.26183
 1.77631	-0.25434
 1.77631	-0.25434
 1.77631	-0.26281
 1.77631	-0.26281
 1.77631	-0.24311
 1.77631	-0.24628
 1.77631	-0.26079
 1.77631	-0.26098
 1.77631	-0.26098
 1.77631	-0.26098
 1.77631	-0.26556
 1.77631	-0.26556
 1.77631	-0.26556
 1.77631	-0.26556
 1.77631	-0.26556
 1.77631	-0.26556
 1.77631	-0.29104
 1.77631	-0.29933
 1.77631	-0.29933
 1.77631	-0.29933
 1.77631	-0.30132
 1.77631	-0.30628
 1.77631	-0.31052
 1.77631	-0.31052
 1.77631	-0.30908
 1.77631	-0.27870
 1.77631	-0.27870
 1.77631	-0.27870
 1.77631	-0.27244
 1.77631	-0.27244
 1.77631	-0.27244
 1.77631	-0.27244
 1.77631	-0.19238
 1.77631	-0.15176
 1.77631	-0.15176
 1.77631	-0.16759
 1.77631	-0.16756
 1.77631	-0.15396
 1.77631	-0.16267
 1.77631	-0.16281
 1.77631	-0.16122
 1.77631	-0.13470
 1.77631	-0.11760
 1.77631	-0.10456
 1.77631	-0.10383
 1.77631	-0.09595
 1.77631	-0.08864
 1.77631	-0.08864
 1.77631	-0.08797
 1.77631	-0.08797
 1.77631	-0.08797
 1.77631	-0.01994
 1.77631	-0.01994
 1.77631	-0.02281
 1.77631	-0.03398
 1.77631	-0.01736
 1.77631	-0.01736
 1.77631	-0.01736
 1.77631	-0.01736
 1.77631	-0.01736
 1.77631	-0.01949
 1.77631	 0.02376
 1.77631	 0.02534
 1.77631	 0.02534
 1.77631	 0.02492
 1.77631	 0.02785
 1.77631	 0.02427
 1.77631	 0.03035
 1.77631	-0.03053
 1.77631	-0.02038
 1.77631	-0.02324
 1.77631	-0.02324
 1.77631	-0.02324
 1.77631	 0.13461
 1.77631	 0.06809
 1.77631	 0.06283
 1.77631	 0.05829
 1.77631	 0.05829
 1.77631	 0.05514
 1.77631	 0.05514
 1.77631	 0.05344
 1.77631	 0.05185
 1.77631	-0.18436
 1.77631	-0.18436
 1.77631	-0.18436
 1.77631	-0.18299
 1.77631	-0.18299
 1.77631	-0.20930
 1.77631	-0.20131
 1.77631	-0.20131
 1.77631	-0.20131
 1.77631	-0.20131
 1.77631	-0.20131
 1.77631	-0.14929
 1.77631	-0.16382
 1.77631	-0.16382
 1.77631	-0.15143
 1.77631	-0.14274
 1.77631	-0.16096
 1.77631	-0.17257
 1.77631	-0.15418
 1.77631	-0.14940
 1.77631	-0.14940
 1.77631	-0.21410
 1.77631	-0.19416
 1.77631	-0.19370
 1.77631	-0.19370
 1.77631	-0.20316
 1.77631	-0.20316
 1.77631	-0.18795
 1.77631	-0.20740
 1.77631	-0.20740
 1.77631	-0.17201
 1.77631	-0.17355
 1.77631	-0.17369
 1.77631	-0.17270
 1.77631	-0.15585
 1.77631	-0.15585
 1.77631	-0.16858
 1.77631	-0.14270
 1.77631	-0.14034
 1.77631	-0.12768
 1.77631	-0.12262
 1.77631	-0.09740
 1.77631	-0.10446
 1.77631	-0.12348
 1.77631	-0.12348
 1.77631	-0.12348
 1.77631	-0.10864
 1.77631	-0.08238
 1.77631	 0.08104
 1.77631	 0.08104
 1.77631	 0.08104
 1.77631	 0.08104
 1.77631	 0.08104
 1.77631	 0.13364
 1.77631	 0.12611
 1.77631	 0.12611
 1.77631	 0.12611
 1.77631	 0.12620
 1.77631	 0.12630
 1.77631	 0.11816
 1.77631	 0.11816
 1.77631	 0.10312
 1.77631	 0.10312
 1.77631	 0.10312
 1.77631	 0.10194
 1.77631	 0.10194
 1.77631	 0.08940
 1.77631	 0.08749
 1.77631	 0.09362
 1.77631	 0.06265
 1.77631	 0.06790
 1.77631	 0.06790
 1.77631	 0.06893
 1.77631	 0.06893
 1.77631	 0.06666
 1.77631	 0.06538
 1.77631	 0.06587
 1.77631	 0.06587
 1.77631	 0.07192
 1.77631	 0.07460
 1.77631	 0.07559
 1.77631	 0.07559
 1.77631	 0.07559
 1.77631	 0.07998
 1.77631	 0.08955
 1.77631	 0.08913
 1.77631	 0.03364
 1.77631	 0.02102
 1.77631	 0.02226
 1.77631	 0.02275
 1.77631	 0.02275
 1.77631	-0.01313
 1.77631	-0.01824
 1.77631	-0.02486
 1.77631	-0.02564
 1.77631	-0.02564
 1.77631	-0.02074
 1.77631	-0.02348
 1.77631	-0.02348
 1.77631	-0.03920
 1.77631	-0.03920
 1.77631	-0.03920
 1.77631	-0.03433
 1.77631	-0.01466
 1.77631	-0.01488
 1.77631	-0.04264
 1.77631	-0.19235
 1.77631	-0.19235
 1.77631	-0.18701
