vx	vy
      0.97	      0.28
      0.85	     -0.42
     -0.44	      1.63
     -2.08	      0.27
     -0.39	     -0.90
      0.29	     -0.83
      1.23	     -1.48
      0.19	      1.33
     -0.56	      1.30
     -0.24	      0.43
      0.17	     -0.54
     -1.86	      1.26
      0.22	     -0.01
      0.42	     -0.31
      0.19	     -1.47
     -0.09	      0.18
      0.42	      1.74
      0.32	      0.51
      0.73	     -0.62
     -0.62	     -0.01
      1.08	      0.10
      1.75	      0.16
      2.63	     -0.22
     -1.04	      0.39
      0.34	      0.58
