x	y
     -6.95	     -6.27
      5.19	      4.57
     -4.22	     -1.29
     -0.97	      4.23
      6.06	      1.32
      2.08	      6.05
     -2.65	      3.12
      5.88	     -5.58
      2.06	      0.06
      0.48	      2.42
      0.61	     -5.14
      6.90	     -0.56
     -4.60	     -6.63
      2.29	      4.00
     -0.72	     -0.50
     -6.38	     -0.94
     -6.79	      1.73
     -6.28	      4.59
     -4.98	      0.86
      6.82	      6.36
     -1.51	     -7.00
     -4.66	      3.29
     -1.71	     -3.28
      3.07	     -5.79
      1.72	     -3.16
